199508,31,0,0,0
199509,15,0,0,0
199510,36,0,0,0
199511,34,0,0,0
199512,43,0,0,0
199601,30,0,0,0
199602,20,0,0,0
199603,23,0,0,0
199604,32,0,0,0
199605,60,0,0,0
199606,60,0,0,0
199607,48,0,0,0
199608,47,0,0,0
199609,57,0,0,0
199610,60,0,0,0
199611,53,0,0,0
199612,72,0,0,0
199701,102,0,0,0
199702,98,0,0,0
199703,93,0,0,0
199704,77,0,0,0
199705,95,0,0,0
199706,80,0,0,0
199707,92,0,0,0
199708,124,0,0,0
199709,132,0,0,0
199710,156,0,0,0
199711,100,0,0,0
199712,128,0,0,0
199801,189,0,0,0
199802,182,0,0,0
199803,192,0,0,0
199804,128,0,0,0
199805,119,0,0,0
199806,154,0,0,0
199807,215,0,0,0
199808,187,0,0,0
199809,211,0,0,0
199810,241,0,0,0
199811,210,0,0,0
199812,157,0,0,0
199901,169,0,0,0
199902,201,0,0,0
199903,271,0,0,0
199904,199,0,0,0
199905,161,0,0,0
199906,229,0,0,0
199907,240,0,0,0
199908,250,77,64,2
199909,298,712,562,35
199910,211,448,378,19
199911,242,504,417,37
199912,195,717,557,68
200001,233,828,603,47
200002,280,755,625,42
200003,293,694,582,39
200004,298,544,462,32
200005,313,682,580,35
200006,271,592,510,28
200007,277,631,522,33
200008,305,776,662,43
200009,326,687,594,40
200010,281,393,326,22
200011,293,493,421,16
200012,276,332,296,9
200101,354,910,768,45
200102,388,989,799,86
200103,459,821,702,39
200104,396,1066,861,100
200105,445,1035,895,67
200106,529,548,447,48
200107,465,247,207,30
200108,491,208,177,15
200109,423,566,485,32
200110,547,348,286,28
200111,618,1030,890,76
200112,478,570,519,33
200201,592,925,763,101
200202,506,764,672,62
200203,594,864,775,61
200204,630,1185,1059,78
200205,593,2425,2016,278
200206,585,3304,2911,257
200207,658,2952,2418,271
200208,733,8335,6522,1007
200209,723,2693,2193,307
200210,596,3438,2745,443
200211,656,4851,3905,639
200212,591,1494,1216,207
200301,765,2540,2177,297
200302,685,3771,3377,333
200303,875,2993,2621,275
200304,809,1751,1491,197
200305,813,1994,1738,207
200306,904,1615,1306,217
200307,907,1379,1166,157
200308,909,2183,1837,257
200309,951,2985,2664,200
200310,838,4709,4092,405
200311,772,2639,2308,246
200312,834,2340,1922,293
200401,1050,2989,2637,280
200402,931,3163,2614,373
200403,1091,4439,3826,463
200404,954,4333,3734,492
200405,994,5192,4639,394
200406,837,3347,2982,285
200407,891,4395,3815,436
200408,782,2842,2496,250
200409,925,4472,3976,357
200410,969,2256,2056,150
200411,896,5357,4747,525
200412,936,4913,4391,443
200501,1092,3726,3407,279
200502,882,4494,3847,566
200503,1117,7566,6633,803
200504,997,5844,5311,457
200505,955,7658,6355,1161
200506,898,8455,6844,1365
200507,1062,7246,6085,989
200508,1096,8503,7472,834
200509,1115,14745,12461,2205
200510,1031,8777,7630,1076
200511,1086,6535,5813,649
200512,1033,6533,5888,622
200601,1163,6289,5620,653
200602,1010,5981,5434,538
200603,1150,8875,8101,714
200604,927,6095,5569,515
200605,1055,7187,6805,373
200606,1024,5199,4785,383
200607,1128,12364,10237,2057
200608,1081,4991,4597,383
200609,1126,6335,5767,543
200610,1061,12415,10985,1342
200611,1097,12731,11244,1411
200612,896,11583,9966,1500
200701,977,14408,12401,1944
200702,1001,15001,13023,1811
200703,1304,24635,21403,3043
200704,1088,19191,16768,2110
200705,1278,27431,23814,2952
200706,1032,22121,19266,2320
200707,1181,27372,23852,2995
200708,1115,46265,38748,6344
200709,1312,62309,52269,8086
200710,1399,63960,54227,7641
200711,1548,92427,80464,9240
200712,1247,85106,72399,9801
200801,1563,97315,82116,11610
200802,1524,79522,67322,8791
200803,1564,150894,129014,16507
200804,1638,146029,125343,14576
200805,1466,175275,147456,19813
200806,1584,264352,205337,42521
200807,1493,133893,114022,16088
200808,1531,149971,127184,15788
200809,1432,227411,194195,21075
200810,1572,181287,160159,13444
200811,1633,190347,164744,16092
200812,1475,239989,205896,17250
200901,1669,207391,174045,18786
200902,1554,187118,159956,17920
200903,1644,235484,186759,23615
200904,1900,190898,156788,15859
200905,1778,225458,190808,18430
200906,1616,358107,296178,31708
200907,1825,466344,381506,37831
200908,1720,339884,280668,33746
200909,1615,265375,217123,27552
200910,1898,369250,303063,35920
200911,2054,452585,371932,42318
200912,1737,323068,273221,27417
201001,1858,131044,118764,7875
201002,1713,118244,101059,9948
201003,2149,168969,140661,15740
201004,1788,249808,217693,20123
201005,1793,262204,219965,25616
201006,1786,271643,229998,24480
201007,1677,254198,211891,23641
201008,1816,304605,263200,25174
201009,1942,411600,357460,33715
201010,1821,534604,461313,44313
201011,1918,484195,404615,47059
201012,1848,430007,377817,31933
201101,2008,333157,289881,27773
201102,2009,409904,351975,31752
201103,1908,387248,338211,27300
